results/kfold_baseline_model
,Average,Std,Total
Precision,0.42844907184521414,0.0028159341071588204,0.4284380618689779
Recall,0.7601358311640307,0.005744299018047763,0.760106328596258
F1 score,0.5479990698833271,0.0027014565839705725,0.5479954890210733
Final confusion matrix
344298,49591
11732,37173
Coefficients
Average,Std
0.24538014130804092,0.002348514986090371
0.8551326117919043,0.0020404013653729934
0.6104883086593794,0.002620727418853015
0.31341768043445173,0.0012924512666419028
