results/5x2_sentiment_stats
,Mean,SD
Precision,0.4321907703655895,8.674052704911609e-05
Recall,0.7606114485745512,0.0001844842846121787
F1 score,0.5511881868280849,0.00011249714132241437
Coefficients
Mean,SD
0.2405927080260474,3.913725969450852e-05
0.8598820808838787,4.4996701716423243e-05
0.5960076294787205,6.426335564713536e-05
0.308079523519038,6.092411711646972e-05
-0.11049287902862134,3.7022408617292765e-05
-0.053567788160191046,5.5001732009427903e-05
-0.000527174012484266,0.00011656824360573983
-0.0412211049585748,0.00014452878251647251
AUC,Mean,SD
,0.6995216841170806,5.5076642810800166e-05
